run_id,gH,blw,tlw,sp
run_001,0.4633,2.5803,0.248,0.5
run_002,0.4633,2.5803,0.248,1.0556
run_003,0.4633,2.5803,0.248,1.6111
run_004,0.4633,2.5803,0.248,2.1667
run_005,0.4633,2.5803,0.248,2.7222
run_006,0.4633,2.5803,0.248,3.2778
run_007,0.4633,2.5803,0.248,3.8333
run_008,0.4633,2.5803,0.248,4.3889
run_009,0.4633,2.5803,0.248,4.9444
run_010,0.4633,2.5803,0.248,5.5
