run_id,wavelength_um,reflectance_0
run_006,9.901e-06,0.00415782
run_006,9.906e-06,0.00408494
run_006,9.911e-06,0.00389048
run_006,9.916e-06,0.00352894
run_006,9.921e-06,0.00307893
run_006,9.926e-06,0.0026716
run_006,9.931e-06,0.00239195
run_006,9.936e-06,0.00222613
run_006,9.941e-06,0.00209194
run_006,9.946e-06,0.00190845
run_006,9.951e-06,0.00165906
run_006,9.956e-06,0.00138489
run_006,9.961e-06,0.00114882
run_006,9.966e-06,0.00097483
run_006,9.971e-06,0.000848444
run_006,9.976e-06,0.000731636
run_006,9.981e-06,0.000606704
run_006,9.986e-06,0.000478974
run_006,9.991e-06,0.000370677
run_006,9.996e-06,0.00029375
run_006,1.0001e-05,0.000248697
run_006,1.0006e-05,0.000227903
run_006,1.0011e-05,0.000226354
run_006,1.0016e-05,0.000243125
run_006,1.0021e-05,0.000281044
run_006,1.0026e-05,0.000348089
run_006,1.0031e-05,0.000454228
run_006,1.0036e-05,0.00060289
run_006,1.0041e-05,0.00078246
run_006,1.0046e-05,0.00097732
run_006,1.0051e-05,0.00119207
run_006,1.0056e-05,0.00145732
run_006,1.0061e-05,0.00180164
run_006,1.0066e-05,0.00220758
run_006,1.0071e-05,0.0026298
run_006,1.0076e-05,0.0030485
run_006,1.0081e-05,0.00352259
run_006,1.0086e-05,0.00411633
run_006,1.0091e-05,0.00482601
run_006,1.0096e-05,0.00555202
run_006,1.0101e-05,0.00626254
run_006,1.0106e-05,0.00703427
run_006,1.0111e-05,0.00799584
run_006,1.0116e-05,0.00909829
run_006,1.0121e-05,0.0102225
run_006,1.0126e-05,0.0113189
run_006,1.0131e-05,0.0125752
run_006,1.0136e-05,0.0140678
run_006,1.0141e-05,0.0157097
run_006,1.0146e-05,0.0173134
run_006,1.0151e-05,0.0190405
run_006,1.0156e-05,0.0210383
run_006,1.0161e-05,0.0233056
run_006,1.0166e-05,0.0255778
run_006,1.0171e-05,0.0280168
run_006,1.0176e-05,0.0307641
run_006,1.0181e-05,0.0338645
run_006,1.0186e-05,0.037024
run_006,1.0191e-05,0.0405101
run_006,1.0196e-05,0.0443709
run_006,1.0201e-05,0.0486498
run_006,1.0206e-05,0.0531086
run_006,1.0211e-05,0.0581836
run_006,1.0216e-05,0.0636682
run_006,1.0221e-05,0.0697544
run_006,1.0226e-05,0.0763152
run_006,1.0231e-05,0.0838117
run_006,1.0236e-05,0.0918386
run_006,1.0241e-05,0.101047
run_006,1.0246e-05,0.111053
run_006,1.0251e-05,0.122587
run_006,1.0256e-05,0.135217
run_006,1.0261e-05,0.149962
run_006,1.0266e-05,0.16624
run_006,1.0271e-05,0.185437
run_006,1.0276e-05,0.206863
run_006,1.0281e-05,0.232063
run_006,1.0286e-05,0.260397
run_006,1.0291e-05,0.292245
run_006,1.0296e-05,0.327364
run_006,1.0301e-05,0.361623
run_006,1.0306e-05,0.395418
run_006,1.0311e-05,0.421051
run_006,1.0316e-05,0.438739
run_006,1.0321e-05,0.444563
run_006,1.0326e-05,0.438704
run_006,1.0331e-05,0.423801
run_006,1.0336e-05,0.405105
run_006,1.0341e-05,0.393938
run_006,1.0346e-05,0.398222
run_006,1.0351e-05,0.420865
run_006,1.0356e-05,0.459675
run_006,1.0361e-05,0.504561
run_006,1.0366e-05,0.550741
run_006,1.0371e-05,0.593461
run_006,1.0376e-05,0.628422
run_006,1.0381e-05,0.659254
run_006,1.0386e-05,0.68268
run_006,1.0391e-05,0.703452
run_006,1.0396e-05,0.719143
run_006,1.0401e-05,0.733252
run_006,1.0406e-05,0.743964
run_006,1.0411e-05,0.753543
run_006,1.0416e-05,0.760931
run_006,1.0421e-05,0.767297
run_006,1.0426e-05,0.772099
run_006,1.0431e-05,0.775909
run_006,1.0436e-05,0.778446
run_006,1.0441e-05,0.779932
run_006,1.0446e-05,0.780209
run_006,1.0451e-05,0.779273
run_006,1.0456e-05,0.776988
run_006,1.0461e-05,0.77318
run_006,1.0466e-05,0.767637
run_006,1.0471e-05,0.760028
run_006,1.0476e-05,0.749936
run_006,1.0481e-05,0.736837
run_006,1.0486e-05,0.71992
run_006,1.0491e-05,0.698424
run_006,1.0496e-05,0.670933
run_006,1.0501e-05,0.636664
run_006,1.0506e-05,0.594005
run_006,1.0511e-05,0.543479
run_006,1.0516e-05,0.485502
run_006,1.0521e-05,0.423334
run_006,1.0526e-05,0.360159
run_006,1.0531e-05,0.303712
run_006,1.0536e-05,0.26543
run_006,1.0541e-05,0.254998
run_006,1.0546e-05,0.269116
run_006,1.0551e-05,0.292293
run_006,1.0556e-05,0.308947
run_006,1.0561e-05,0.313292
run_006,1.0566e-05,0.309301
run_006,1.0571e-05,0.306376
run_006,1.0576e-05,0.31565
run_006,1.0581e-05,0.345361
run_006,1.0586e-05,0.395449
run_006,1.0591e-05,0.458628
run_006,1.0596e-05,0.524296
run_006,1.0601e-05,0.585441
run_006,1.0606e-05,0.63834
run_006,1.0611e-05,0.682422
run_006,1.0616e-05,0.718495
run_006,1.0621e-05,0.74782
run_006,1.0626e-05,0.771856
run_006,1.0631e-05,0.791538
run_006,1.0636e-05,0.807889
run_006,1.0641e-05,0.821394
run_006,1.0646e-05,0.832739
run_006,1.0651e-05,0.842205
run_006,1.0656e-05,0.850194
run_006,1.0661e-05,0.856881
run_006,1.0666e-05,0.862476
run_006,1.0671e-05,0.867089
run_006,1.0676e-05,0.870806
run_006,1.0681e-05,0.873689
run_006,1.0686e-05,0.875732
run_006,1.0691e-05,0.876939
run_006,1.0696e-05,0.87722
run_006,1.0701e-05,0.876487
run_006,1.0706e-05,0.874548
run_006,1.0711e-05,0.871148
run_006,1.0716e-05,0.865899
run_006,1.0721e-05,0.858248
run_006,1.0726e-05,0.847409
run_006,1.0731e-05,0.832303
run_006,1.0736e-05,0.811504
run_006,1.0741e-05,0.78354
run_006,1.0746e-05,0.747551
run_006,1.0751e-05,0.705959
run_006,1.0756e-05,0.667487
run_006,1.0761e-05,0.647876
run_006,1.0766e-05,0.658535
run_006,1.0771e-05,0.694274
run_006,1.0776e-05,0.739206
run_006,1.0781e-05,0.781114
run_006,1.0786e-05,0.815352
run_006,1.0791e-05,0.841916
run_006,1.0796e-05,0.862154
run_006,1.0801e-05,0.87767
run_006,1.0806e-05,0.889674
run_006,1.0811e-05,0.899126
run_006,1.0816e-05,0.906684
run_006,1.0821e-05,0.912829
run_006,1.0826e-05,0.917907
run_006,1.0831e-05,0.922157
run_006,1.0836e-05,0.925772
run_006,1.0841e-05,0.928874
run_006,1.0846e-05,0.931576
run_006,1.0851e-05,0.933947
run_006,1.0856e-05,0.936052
run_006,1.0861e-05,0.937934
run_006,1.0866e-05,0.93963
run_006,1.0871e-05,0.941171
run_006,1.0876e-05,0.942578
run_006,1.0881e-05,0.943873
run_006,1.0886e-05,0.945067
run_006,1.0891e-05,0.946178
run_006,1.0896e-05,0.947214
run_006,1.0901e-05,0.948184
run_006,1.0906e-05,0.949097
run_006,1.0911e-05,0.949957
run_006,1.0916e-05,0.950773
run_006,1.0921e-05,0.951545
run_006,1.0926e-05,0.952282
run_006,1.0931e-05,0.952984
run_006,1.0936e-05,0.953657
run_006,1.0941e-05,0.954301
run_006,1.0946e-05,0.954919
run_006,1.0951e-05,0.955515
run_006,1.0956e-05,0.956088
run_006,1.0961e-05,0.956642
run_006,1.0966e-05,0.957177
run_006,1.0971e-05,0.957696
run_006,1.0976e-05,0.958198
run_006,1.0981e-05,0.958685
run_006,1.0986e-05,0.95916
run_006,1.0991e-05,0.95962
run_006,1.0996e-05,0.960069
run_006,1.1001e-05,0.960505
run_006,1.1006e-05,0.960932
run_006,1.1011e-05,0.961347
run_006,1.1016e-05,0.961754
run_006,1.1021e-05,0.962151
run_006,1.1026e-05,0.962539
run_006,1.1031e-05,0.96292
run_006,1.1036e-05,0.963292
run_006,1.1041e-05,0.963657
run_006,1.1046e-05,0.964014
run_006,1.1051e-05,0.964365
run_006,1.1056e-05,0.964709
run_006,1.1061e-05,0.965047
run_006,1.1066e-05,0.965379
run_006,1.1071e-05,0.965704
run_006,1.1076e-05,0.966025
run_006,1.1081e-05,0.966339
run_006,1.1086e-05,0.966648
run_006,1.1091e-05,0.966953
run_006,1.1096e-05,0.967252
run_006,1.1101e-05,0.967546
run_006,1.1106e-05,0.967836
run_006,1.1111e-05,0.96812
run_006,1.1116e-05,0.968401
run_006,1.1121e-05,0.968676
run_006,1.1126e-05,0.968948
run_006,1.1131e-05,0.969214
run_006,1.1136e-05,0.969476
run_006,1.1141e-05,0.969734
run_006,1.1146e-05,0.969987
run_006,1.1151e-05,0.970236
run_006,1.1156e-05,0.970479
run_006,1.1161e-05,0.970719
run_006,1.1166e-05,0.970951
run_006,1.1171e-05,0.97118
run_006,1.1176e-05,0.971402
run_006,1.1181e-05,0.971615
run_006,1.1186e-05,0.971827
run_006,1.1191e-05,0.972019
run_006,1.1196e-05,0.972209
run_006,1.1201e-05,0.97238
run_006,1.1206e-05,0.972531
run_006,1.1211e-05,0.972676
run_006,1.1216e-05,0.97274
run_006,1.1221e-05,0.972808
run_006,1.1226e-05,0.97271
run_006,1.1231e-05,0.972533
run_006,1.1236e-05,0.972211
run_006,1.1241e-05,0.971339
run_006,1.1246e-05,0.970492
run_006,1.1251e-05,0.970364
run_006,1.1256e-05,0.970429
run_006,1.1261e-05,0.97087
run_006,1.1266e-05,0.972027
run_006,1.1271e-05,0.973158
run_006,1.1276e-05,0.973628
run_006,1.1281e-05,0.974009
run_006,1.1286e-05,0.974131
run_006,1.1291e-05,0.973946
run_006,1.1296e-05,0.973777
run_006,1.1301e-05,0.972591
run_006,1.1306e-05,0.971413
run_006,1.1311e-05,0.970867
run_006,1.1316e-05,0.97089
run_006,1.1321e-05,0.970991
run_006,1.1326e-05,0.972652
run_006,1.1331e-05,0.974295
run_006,1.1336e-05,0.975412
run_006,1.1341e-05,0.976132
run_006,1.1346e-05,0.976799
run_006,1.1351e-05,0.977167
run_006,1.1356e-05,0.977525
run_006,1.1361e-05,0.977812
run_006,1.1366e-05,0.978053
run_006,1.1371e-05,0.978284
run_006,1.1376e-05,0.978475
run_006,1.1381e-05,0.978662
run_006,1.1386e-05,0.978833
run_006,1.1391e-05,0.978994
run_006,1.1396e-05,0.979151
run_006,1.1401e-05,0.979295
run_006,1.1406e-05,0.979438
run_006,1.1411e-05,0.979573
run_006,1.1416e-05,0.979704
run_006,1.1421e-05,0.979832
run_006,1.1426e-05,0.979954
run_006,1.1431e-05,0.980073
run_006,1.1436e-05,0.980189
run_006,1.1441e-05,0.980301
run_006,1.1446e-05,0.980411
run_006,1.1451e-05,0.980517
run_006,1.1456e-05,0.980621
run_006,1.1461e-05,0.980721
run_006,1.1466e-05,0.980819
run_006,1.1471e-05,0.980915
run_006,1.1476e-05,0.981007
run_006,1.1481e-05,0.981098
run_006,1.1486e-05,0.981186
run_006,1.1491e-05,0.981271
run_006,1.1496e-05,0.981354
run_006,1.1501e-05,0.981435
run_006,1.1506e-05,0.981513
run_006,1.1511e-05,0.98159
run_006,1.1516e-05,0.981663
run_006,1.1521e-05,0.981736
run_006,1.1526e-05,0.981805
run_006,1.1531e-05,0.981872
run_006,1.1536e-05,0.981938
run_006,1.1541e-05,0.982001
run_006,1.1546e-05,0.982063
