run_id,gH,blw,tlw,sp
run_001,0.4633,2.5803,0.1,5.238
run_002,0.4633,2.5803,0.37559,5.238
run_003,0.4633,2.5803,0.65118,5.238
run_004,0.4633,2.5803,0.92677,5.238
run_005,0.4633,2.5803,1.2024,5.238
run_006,0.4633,2.5803,1.4779,5.238
run_007,0.4633,2.5803,1.7535,5.238
run_008,0.4633,2.5803,2.0291,5.238
run_009,0.4633,2.5803,2.3047,5.238
run_010,0.4633,2.5803,2.5803,5.238
