run_id,wavelength_um,reflectance_0
run_010,9.901e-06,0.00419989
run_010,9.906e-06,0.00412371
run_010,9.911e-06,0.00391952
run_010,9.916e-06,0.00354788
run_010,9.921e-06,0.0030927
run_010,9.926e-06,0.0026862
run_010,9.931e-06,0.00241025
run_010,9.936e-06,0.00224656
run_010,9.941e-06,0.00211055
run_010,9.946e-06,0.0019223
run_010,9.951e-06,0.00166817
run_010,9.956e-06,0.00139152
run_010,9.961e-06,0.00115537
run_010,9.966e-06,0.000982081
run_010,9.971e-06,0.000855524
run_010,9.976e-06,0.000737254
run_010,9.981e-06,0.000610379
run_010,9.986e-06,0.000481196
run_010,9.991e-06,0.000372315
run_010,9.996e-06,0.000295336
run_010,1.0001e-05,0.000250282
run_010,1.0006e-05,0.000229307
run_010,1.0011e-05,0.000227478
run_010,1.0016e-05,0.000244092
run_010,1.0021e-05,0.000282239
run_010,1.0026e-05,0.000350059
run_010,1.0031e-05,0.000457374
run_010,1.0036e-05,0.000607138
run_010,1.0041e-05,0.000787386
run_010,1.0046e-05,0.000982871
run_010,1.0051e-05,0.00119915
run_010,1.0056e-05,0.00146728
run_010,1.0061e-05,0.00181489
run_010,1.0066e-05,0.00222307
run_010,1.0071e-05,0.00264646
run_010,1.0076e-05,0.00306716
run_010,1.0081e-05,0.00354581
run_010,1.0086e-05,0.00414552
run_010,1.0091e-05,0.00485966
run_010,1.0096e-05,0.00558778
run_010,1.0101e-05,0.00630124
run_010,1.0106e-05,0.00707971
run_010,1.0111e-05,0.00805034
run_010,1.0116e-05,0.00915986
run_010,1.0121e-05,0.010289
run_010,1.0126e-05,0.0113928
run_010,1.0131e-05,0.0126615
run_010,1.0136e-05,0.0141668
run_010,1.0141e-05,0.0158174
run_010,1.0146e-05,0.0174287
run_010,1.0151e-05,0.0191685
run_010,1.0156e-05,0.021181
run_010,1.0161e-05,0.0234573
run_010,1.0166e-05,0.0257469
run_010,1.0171e-05,0.0282113
run_010,1.0176e-05,0.0309779
run_010,1.0181e-05,0.0340964
run_010,1.0186e-05,0.0372733
run_010,1.0191e-05,0.040783
run_010,1.0196e-05,0.0446696
run_010,1.0201e-05,0.0489736
run_010,1.0206e-05,0.0534598
run_010,1.0211e-05,0.0585681
run_010,1.0216e-05,0.0640861
run_010,1.0221e-05,0.0702089
run_010,1.0226e-05,0.0768107
run_010,1.0231e-05,0.0843527
run_010,1.0236e-05,0.0924273
run_010,1.0241e-05,0.101691
run_010,1.0246e-05,0.111756
run_010,1.0251e-05,0.123358
run_010,1.0256e-05,0.136061
run_010,1.0261e-05,0.150892
run_010,1.0266e-05,0.167262
run_010,1.0271e-05,0.186569
run_010,1.0276e-05,0.208113
run_010,1.0281e-05,0.233456
run_010,1.0286e-05,0.261944
run_010,1.0291e-05,0.293975
run_010,1.0296e-05,0.329285
run_010,1.0301e-05,0.363744
run_010,1.0306e-05,0.397723
run_010,1.0311e-05,0.423484
run_010,1.0316e-05,0.441216
run_010,1.0321e-05,0.446955
run_010,1.0326e-05,0.440866
run_010,1.0331e-05,0.425604
run_010,1.0336e-05,0.406501
run_010,1.0341e-05,0.395032
run_010,1.0346e-05,0.399263
run_010,1.0351e-05,0.422137
run_010,1.0356e-05,0.461495
run_010,1.0361e-05,0.507088
run_010,1.0366e-05,0.554121
run_010,1.0371e-05,0.597714
run_010,1.0376e-05,0.633522
run_010,1.0381e-05,0.665195
run_010,1.0386e-05,0.689415
run_010,1.0391e-05,0.710997
run_010,1.0396e-05,0.727483
run_010,1.0401e-05,0.742431
run_010,1.0406e-05,0.754002
run_010,1.0411e-05,0.764511
run_010,1.0416e-05,0.772887
run_010,1.0421e-05,0.780342
run_010,1.0426e-05,0.786329
run_010,1.0431e-05,0.791462
run_010,1.0436e-05,0.795469
run_010,1.0441e-05,0.798618
run_010,1.0446e-05,0.800773
run_010,1.0451e-05,0.801986
run_010,1.0456e-05,0.802171
run_010,1.0461e-05,0.801224
run_010,1.0466e-05,0.799028
run_010,1.0471e-05,0.795344
run_010,1.0476e-05,0.789925
run_010,1.0481e-05,0.782372
run_010,1.0486e-05,0.772158
run_010,1.0491e-05,0.758662
run_010,1.0496e-05,0.740844
run_010,1.0501e-05,0.717855
run_010,1.0506e-05,0.688123
run_010,1.0511e-05,0.651177
run_010,1.0516e-05,0.606436
run_010,1.0521e-05,0.555793
run_010,1.0526e-05,0.501407
run_010,1.0531e-05,0.449031
run_010,1.0536e-05,0.40886
run_010,1.0541e-05,0.392482
run_010,1.0546e-05,0.400618
run_010,1.0551e-05,0.420301
run_010,1.0556e-05,0.436049
run_010,1.0561e-05,0.440633
run_010,1.0566e-05,0.436026
run_010,1.0571e-05,0.429825
run_010,1.0576e-05,0.431592
run_010,1.0581e-05,0.448672
run_010,1.0586e-05,0.48261
run_010,1.0591e-05,0.529476
run_010,1.0596e-05,0.581567
run_010,1.0601e-05,0.632394
run_010,1.0606e-05,0.677776
run_010,1.0611e-05,0.716656
run_010,1.0616e-05,0.749514
run_010,1.0621e-05,0.777028
run_010,1.0626e-05,0.799916
run_010,1.0631e-05,0.818652
run_010,1.0636e-05,0.834073
run_010,1.0641e-05,0.84667
run_010,1.0646e-05,0.85715
run_010,1.0651e-05,0.865833
run_010,1.0656e-05,0.873129
run_010,1.0661e-05,0.879218
run_010,1.0666e-05,0.88429
run_010,1.0671e-05,0.888428
run_010,1.0676e-05,0.891662
run_010,1.0681e-05,0.893979
run_010,1.0686e-05,0.895292
run_010,1.0691e-05,0.895575
run_010,1.0696e-05,0.894989
run_010,1.0701e-05,0.894322
run_010,1.0706e-05,0.895031
run_010,1.0711e-05,0.898222
run_010,1.0716e-05,0.90332
run_010,1.0721e-05,0.908854
run_010,1.0726e-05,0.913841
run_010,1.0731e-05,0.918009
run_010,1.0736e-05,0.921444
run_010,1.0741e-05,0.924287
run_010,1.0746e-05,0.926702
run_010,1.0751e-05,0.928774
run_010,1.0756e-05,0.930602
run_010,1.0761e-05,0.932227
run_010,1.0766e-05,0.9337
run_010,1.0771e-05,0.935044
run_010,1.0776e-05,0.936283
run_010,1.0781e-05,0.937434
run_010,1.0786e-05,0.938505
run_010,1.0791e-05,0.939515
run_010,1.0796e-05,0.940461
run_010,1.0801e-05,0.94136
run_010,1.0806e-05,0.942208
run_010,1.0811e-05,0.943017
run_010,1.0816e-05,0.943786
run_010,1.0821e-05,0.944521
run_010,1.0826e-05,0.945224
run_010,1.0831e-05,0.945895
run_010,1.0836e-05,0.946542
run_010,1.0841e-05,0.947158
run_010,1.0846e-05,0.947753
run_010,1.0851e-05,0.948323
run_010,1.0856e-05,0.948873
run_010,1.0861e-05,0.949401
run_010,1.0866e-05,0.94991
run_010,1.0871e-05,0.9504
run_010,1.0876e-05,0.950871
run_010,1.0881e-05,0.951327
run_010,1.0886e-05,0.951763
run_010,1.0891e-05,0.952185
run_010,1.0896e-05,0.952589
run_010,1.0901e-05,0.952979
run_010,1.0906e-05,0.953353
run_010,1.0911e-05,0.953711
run_010,1.0916e-05,0.954056
run_010,1.0921e-05,0.954384
run_010,1.0926e-05,0.954699
run_010,1.0931e-05,0.954998
run_010,1.0936e-05,0.955282
run_010,1.0941e-05,0.95555
run_010,1.0946e-05,0.955803
run_010,1.0951e-05,0.95604
run_010,1.0956e-05,0.956259
run_010,1.0961e-05,0.956463
run_010,1.0966e-05,0.956647
run_010,1.0971e-05,0.956814
run_010,1.0976e-05,0.95696
run_010,1.0981e-05,0.957085
run_010,1.0986e-05,0.957189
