% Model:              1D_grating.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 05:09
% Table:              Table 4 - Global Evaluation 1
% lambda0 (µm)                                    Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)
10.721                                            0.81429                                           0.75892                                           0.64059                                           0.54125                                           0.45327                                           0.40663
10.726                                            0.80062                                           0.73473                                           0.59814                                           0.47981                                           0.38886                                           0.36847
10.731                                            0.78396                                           0.70351                                           0.54538                                           0.40969                                           0.33472                                           0.36359
10.736                                            0.76359                                           0.66350                                           0.48110                                           0.33822                                           0.30918                                           0.39802
10.741                                            0.73862                                           0.61251                                           0.40641                                           0.28069                                           0.32551                                           0.46059
10.746                                            0.70785                                           0.54739                                           0.32663                                           0.25637                                           0.38012                                           0.53252
10.751                                            0.66993                                           0.46517                                           0.25508                                           0.27742                                           0.45489                                           0.59929
10.756                                            0.62304                                           0.39508                                           0.21098                                           0.33794                                           0.53146                                           0.65514
10.761                                            0.56543                                           0.30716                                           0.21162                                           0.41857                                           0.59890                                           0.69930
10.766                                            0.49545                                           0.22155                                           0.25884                                           0.50058                                           0.65407                                           0.73355
10.771                                            0.41283                                           0.16596                                           0.33726                                           0.57312                                           0.69757                                           0.75995
10.776                                            0.32027                                           0.15877                                           0.42589                                           0.63288                                           0.73144                                           0.78041
10.781                                            0.22607                                           0.20266                                           0.50955                                           0.68048                                           0.75782                                           0.79641
10.786                                            0.14586                                           0.28247                                           0.58126                                           0.71784                                           0.77845                                           0.80905
10.791                                            0.099371                                          0.37667                                           0.63992                                           0.74720                                           0.79478                                           0.81918
10.796                                            0.10143                                           0.46831                                           0.68676                                           0.77033                                           0.80781                                           0.82737
10.801                                            0.15166                                           0.54912                                           0.72401                                           0.78877                                           0.81835                                           0.83409
10.806                                            0.23482                                           0.61658                                           0.75361                                           0.80357                                           0.82696                                           0.83965
10.811                                            0.33109                                           0.67158                                           0.77734                                           0.81560                                           0.83407                                           0.84431
10.816                                            0.42507                                           0.71595                                           0.79649                                           0.82547                                           0.84000                                           0.84825
10.821                                            0.50872                                           0.75173                                           0.81211                                           0.83365                                           0.84500                                           0.85161
10.826                                            0.57953                                           0.78071                                           0.82495                                           0.84051                                           0.84926                                           0.85450
10.831                                            0.63790                                           0.80432                                           0.83561                                           0.84631                                           0.85290                                           0.85700
10.836                                            0.68555                                           0.82376                                           0.84453                                           0.85126                                           0.85605                                           0.85919
10.841                                            0.72428                                           0.83986                                           0.85204                                           0.85551                                           0.85878                                           0.86111
10.846                                            0.75590                                           0.85334                                           0.85841                                           0.85919                                           0.86119                                           0.86281
10.851                                            0.78181                                           0.86470                                           0.86384                                           0.86241                                           0.86330                                           0.86432
10.856                                            0.80322                                           0.87437                                           0.86848                                           0.86524                                           0.86518                                           0.86567
10.861                                            0.82102                                           0.88266                                           0.87247                                           0.86775                                           0.86685                                           0.86689
10.866                                            0.83593                                           0.88981                                           0.87589                                           0.86998                                           0.86835                                           0.86798
10.871                                            0.84851                                           0.89604                                           0.87885                                           0.87198                                           0.86971                                           0.86897
10.876                                            0.85920                                           0.90147                                           0.88139                                           0.87377                                           0.87093                                           0.86987
10.881                                            0.86836                                           0.90626                                           0.88358                                           0.87540                                           0.87204                                           0.87070
10.886                                            0.87623                                           0.91049                                           0.88547                                           0.87688                                           0.87305                                           0.87145
10.891                                            0.88304                                           0.91426                                           0.88711                                           0.87823                                           0.87398                                           0.87214
10.896                                            0.88896                                           0.91763                                           0.88853                                           0.87946                                           0.87483                                           0.87277
10.901                                            0.89414                                           0.92065                                           0.88978                                           0.88059                                           0.87562                                           0.87336
10.906                                            0.89869                                           0.92337                                           0.89089                                           0.88164                                           0.87634                                           0.87390
10.911                                            0.90269                                           0.92583                                           0.89189                                           0.88260                                           0.87701                                           0.87440
10.916                                            0.90622                                           0.92807                                           0.89283                                           0.88349                                           0.87764                                           0.87486
10.921                                            0.90935                                           0.93011                                           0.89375                                           0.88431                                           0.87821                                           0.87529
10.926                                            0.91212                                           0.93197                                           0.89467                                           0.88507                                           0.87875                                           0.87569
10.931                                            0.91459                                           0.93367                                           0.89564                                           0.88577                                           0.87925                                           0.87606
10.936                                            0.91678                                           0.93524                                           0.89668                                           0.88642                                           0.87972                                           0.87641
10.941                                            0.91873                                           0.93669                                           0.89781                                           0.88703                                           0.88015                                           0.87673
10.946                                            0.92046                                           0.93802                                           0.89905                                           0.88758                                           0.88056                                           0.87703
10.951                                            0.92199                                           0.93926                                           0.90042                                           0.88809                                           0.88094                                           0.87731
10.956                                            0.92334                                           0.94040                                           0.90190                                           0.88856                                           0.88130                                           0.87757
10.961                                            0.92454                                           0.94147                                           0.90350                                           0.88899                                           0.88163                                           0.87781
10.966                                            0.92558                                           0.94245                                           0.90519                                           0.88939                                           0.88194                                           0.87803
10.971                                            0.92648                                           0.94338                                           0.90694                                           0.88974                                           0.88223                                           0.87824
10.976                                            0.92725                                           0.94423                                           0.90874                                           0.89007                                           0.88250                                           0.87844
10.981                                            0.92790                                           0.94503                                           0.91054                                           0.89035                                           0.88275                                           0.87862
10.986                                            0.92843                                           0.94578                                           0.91231                                           0.89061                                           0.88299                                           0.87878
10.991                                            0.92885                                           0.94648                                           0.91401                                           0.89084                                           0.88320                                           0.87893
10.996                                            0.92917                                           0.94713                                           0.91563                                           0.89104                                           0.88340                                           0.87908
11.001                                            0.92937                                           0.94774                                           0.91713                                           0.89121                                           0.88359                                           0.87921
11.006                                            0.92947                                           0.94831                                           0.91848                                           0.89136                                           0.88376                                           0.87932
11.011                                            0.92947                                           0.94884                                           0.91967                                           0.89149                                           0.88392                                           0.87943
11.016                                            0.92936                                           0.94934                                           0.92066                                           0.89159                                           0.88406                                           0.87953
11.021                                            0.92915                                           0.94980                                           0.92145                                           0.89168                                           0.88419                                           0.87962
11.026                                            0.92883                                           0.95023                                           0.92201                                           0.89175                                           0.88431                                           0.87970
11.031                                            0.92840                                           0.95063                                           0.92231                                           0.89180                                           0.88441                                           0.87977
11.036                                            0.92786                                           0.95100                                           0.92234                                           0.89185                                           0.88451                                           0.87983
11.041                                            0.92719                                           0.95134                                           0.92208                                           0.89189                                           0.88459                                           0.87989
11.046                                            0.92640                                           0.95165                                           0.92150                                           0.89192                                           0.88466                                           0.87994
11.051                                            0.92547                                           0.95194                                           0.92058                                           0.89195                                           0.88472                                           0.87998
11.056                                            0.92439                                           0.95219                                           0.91933                                           0.89199                                           0.88478                                           0.88001
11.061                                            0.92316                                           0.95243                                           0.91777                                           0.89202                                           0.88482                                           0.88004
11.066                                            0.92177                                           0.95263                                           0.91599                                           0.89207                                           0.88486                                           0.88006
11.071                                            0.92019                                           0.95282                                           0.91416                                           0.89212                                           0.88489                                           0.88007
11.076                                            0.91840                                           0.95297                                           0.91257                                           0.89219                                           0.88491                                           0.88008
11.081                                            0.91640                                           0.95310                                           0.91167                                           0.89228                                           0.88492                                           0.88009
11.086                                            0.91415                                           0.95321                                           0.91195                                           0.89239                                           0.88493                                           0.88009
11.091                                            0.91164                                           0.95329                                           0.91384                                           0.89252                                           0.88493                                           0.88008
11.096                                            0.90881                                           0.95334                                           0.91740                                           0.89267                                           0.88493                                           0.88007
11.101                                            0.90565                                           0.95337                                           0.92229                                           0.89285                                           0.88492                                           0.88005
11.106                                            0.90210                                           0.95336                                           0.92786                                           0.89305                                           0.88491                                           0.88003
11.111                                            0.89812                                           0.95333                                           0.93342                                           0.89328                                           0.88489                                           0.88001
11.116                                            0.89365                                           0.95327                                           0.93846                                           0.89353                                           0.88487                                           0.87998
11.121                                            0.88859                                           0.95318                                           0.94273                                           0.89382                                           0.88485                                           0.87995
11.126                                            0.88290                                           0.95306                                           0.94617                                           0.89412                                           0.88483                                           0.87991
11.131                                            0.87644                                           0.95290                                           0.94878                                           0.89445                                           0.88480                                           0.87987
11.136                                            0.86911                                           0.95271                                           0.95062                                           0.89480                                           0.88477                                           0.87983
11.141                                            0.86075                                           0.95248                                           0.95166                                           0.89516                                           0.88474                                           0.87978
11.146                                            0.85118                                           0.95221                                           0.95177                                           0.89554                                           0.88471                                           0.87973
11.151                                            0.84023                                           0.95190                                           0.95043                                           0.89592                                           0.88469                                           0.87968
11.156                                            0.82753                                           0.95154                                           0.94610                                           0.89631                                           0.88465                                           0.87963
11.161                                            0.81289                                           0.95114                                           0.93361                                           0.89670                                           0.88463                                           0.87957
11.166                                            0.79577                                           0.95068                                           0.92254                                           0.89708                                           0.88459                                           0.87950
11.171                                            0.77580                                           0.95017                                           0.96121                                           0.89745                                           0.88456                                           0.87944
11.176                                            0.75235                                           0.94959                                           0.96877                                           0.89779                                           0.88453                                           0.87937
11.181                                            0.72458                                           0.94893                                           0.96952                                           0.89812                                           0.88450                                           0.87929
11.186                                            0.69191                                           0.94821                                           0.96947                                           0.89841                                           0.88447                                           0.87921
11.191                                            0.65275                                           0.94738                                           0.96933                                           0.89866                                           0.88442                                           0.87912
11.196                                            0.60660                                           0.94647                                           0.96922                                           0.89887                                           0.88438                                           0.87903
11.201                                            0.55179                                           0.94543                                           0.96914                                           0.89902                                           0.88433                                           0.87893
11.206                                            0.48749                                           0.94425                                           0.96907                                           0.89911                                           0.88427                                           0.87881
11.211                                            0.41440                                           0.94294                                           0.96902                                           0.89915                                           0.88421                                           0.87869
11.216                                            0.33104                                           0.94129                                           0.96891                                           0.89906                                           0.88409                                           0.87851
11.221                                            0.24554                                           0.93950                                           0.96880                                           0.89892                                           0.88397                                           0.87833
11.226                                            0.16112                                           0.93708                                           0.96855                                           0.89860                                           0.88373                                           0.87802
11.231                                            0.092886                                          0.93420                                           0.96822                                           0.89814                                           0.88343                                           0.87765
11.236                                            0.052297                                          0.93062                                           0.96774                                           0.89751                                           0.88301                                           0.87715
11.241                                            0.037742                                          0.92511                                           0.96673                                           0.89637                                           0.88212                                           0.87614
11.246                                            0.052959                                          0.91913                                           0.96573                                           0.89520                                           0.88125                                           0.87516
11.251                                            0.083376                                          0.91554                                           0.96539                                           0.89446                                           0.88082                                           0.87462
11.256                                            0.11942                                           0.91252                                           0.96522                                           0.89380                                           0.88050                                           0.87418
11.261                                            0.17353                                           0.91036                                           0.96543                                           0.89340                                           0.88052                                           0.87414
11.266                                            0.26351                                           0.91018                                           0.96636                                           0.89356                                           0.88122                                           0.87484
11.271                                            0.35880                                           0.90997                                           0.96727                                           0.89366                                           0.88190                                           0.87553
11.276                                            0.44362                                           0.90651                                           0.96751                                           0.89324                                           0.88209                                           0.87572
11.281                                            0.51840                                           0.90219                                           0.96766                                           0.89276                                           0.88221                                           0.87584
11.286                                            0.57781                                           0.89597                                           0.96753                                           0.89209                                           0.88212                                           0.87575
11.291                                            0.62226                                           0.88715                                           0.96707                                           0.89122                                           0.88179                                           0.87541
11.296                                            0.66002                                           0.87719                                           0.96660                                           0.89043                                           0.88146                                           0.87508
11.301                                            0.66973                                           0.85999                                           0.96504                                           0.88894                                           0.88027                                           0.87382
11.306                                            0.67933                                           0.84041                                           0.96345                                           0.88757                                           0.87908                                           0.87257
11.311                                            0.68956                                           0.82525                                           0.96247                                           0.88674                                           0.87824                                           0.87168
11.316                                            0.69933                                           0.81562                                           0.96207                                           0.88640                                           0.87768                                           0.87107
11.321                                            0.70960                                           0.80585                                           0.96174                                           0.88629                                           0.87718                                           0.87053
11.326                                            0.75141                                           0.80320                                           0.96316                                           0.88764                                           0.87810                                           0.87158
11.331                                            0.78966                                           0.80078                                           0.96459                                           0.88917                                           0.87899                                           0.87262
11.336                                            0.81890                                           0.79187                                           0.96543                                           0.89055                                           0.87950                                           0.87329
11.341                                            0.84063                                           0.77621                                           0.96580                                           0.89184                                           0.87972                                           0.87366
11.346                                            0.85901                                           0.75759                                           0.96611                                           0.89329                                           0.87989                                           0.87398
11.351                                            0.87172                                           0.73165                                           0.96604                                           0.89468                                           0.87980                                           0.87404
11.356                                            0.88281                                           0.70114                                           0.96595                                           0.89620                                           0.87969                                           0.87408
11.361                                            0.89187                                           0.66419                                           0.96574                                           0.89778                                           0.87952                                           0.87406
11.366                                            0.89949                                           0.62011                                           0.96545                                           0.89939                                           0.87929                                           0.87400
11.371                                            0.90620                                           0.56861                                           0.96512                                           0.90104                                           0.87905                                           0.87393
11.376                                            0.91188                                           0.50866                                           0.96471                                           0.90263                                           0.87876                                           0.87381
11.381                                            0.91697                                           0.44150                                           0.96425                                           0.90418                                           0.87847                                           0.87369
11.386                                            0.92146                                           0.36897                                           0.96373                                           0.90563                                           0.87815                                           0.87355
11.391                                            0.92547                                           0.29587                                           0.96315                                           0.90694                                           0.87783                                           0.87341
11.396                                            0.92911                                           0.22997                                           0.96252                                           0.90809                                           0.87751                                           0.87326
11.401                                            0.93236                                           0.18068                                           0.96181                                           0.90903                                           0.87717                                           0.87309
11.406                                            0.93533                                           0.15761                                           0.96105                                           0.90975                                           0.87684                                           0.87293
11.411                                            0.93804                                           0.16559                                           0.96021                                           0.91021                                           0.87651                                           0.87275
11.416                                            0.94051                                           0.20300                                           0.95929                                           0.91038                                           0.87618                                           0.87258
11.421                                            0.94279                                           0.26232                                           0.95828                                           0.91024                                           0.87586                                           0.87240
11.426                                            0.94488                                           0.33368                                           0.95718                                           0.90975                                           0.87555                                           0.87222
11.431                                            0.94682                                           0.40802                                           0.95598                                           0.90890                                           0.87526                                           0.87203
11.436                                            0.94861                                           0.47926                                           0.95466                                           0.90764                                           0.87498                                           0.87185
11.441                                            0.95028                                           0.54396                                           0.95321                                           0.90596                                           0.87473                                           0.87166
11.446                                            0.95183                                           0.60078                                           0.95163                                           0.90386                                           0.87449                                           0.87148
11.451                                            0.95328                                           0.64989                                           0.94988                                           0.90134                                           0.87427                                           0.87129
