X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	-636.766746621	
0.1172	-613.859832562	
0.2344	-544.617298316	
0.3516	-458.106595759	
0.4688	-382.233256777	
0.5859	-317.646444967	
0.7031	-259.411858097	
0.8203	-204.086031879	
0.9375	-151.905868148	
1.0547	-117.591862427	
1.1719	-114.515869113	
1.2891	-116.481007325	
1.4062	-116.877511159	
1.5234	-113.565064159	
1.6406	-106.817558714	
1.7578	-114.794073431	
1.8750	-118.474185199	
1.9922	-118.763774953	
2.1094	-118.779302748	
2.2266	-132.315180084	
2.3438	-189.635661860	
2.4609	-238.488529077	
2.5781	-298.300604319	
2.6953	-360.124946206	
2.8125	-427.410057689	
2.9297	-500.038426542	
3.0469	-579.899792751	
3.1641	-626.825953656	
3.2812	-634.293636320	
3.3984	-639.653560030	
3.5156	-642.527437647	
3.6328	-644.842072380	
3.7500	-644.666445988	
3.8672	-641.104888090	
3.9844	-638.511237523	
4.1016	-641.049511272	
4.2187	-641.526197638	
4.3359	-638.452856888	
4.4531	-641.032408895	
4.5703	-639.000278298	
4.6875	-636.809575237	
4.8047	-634.842559639	
4.9219	-639.367373795	
5.0391	-642.113928333	
5.1562	-644.976468963	
5.2734	-644.452981191	
5.3906	-640.521227083	
5.5078	-637.499774848	
5.6250	-640.564297942	
5.7422	-644.802683620	
5.8594	-646.858893201	
5.9766	-641.623530996	
6.0937	-640.534114426	
6.2109	-644.257926886	
6.3281	-644.990179934	
6.4453	-644.177259867	
6.5625	-640.652474503	
6.6797	-636.311135422	
6.7969	-640.953486028	
6.9141	-645.709351844	
7.0312	-648.088277949	
7.1484	-653.759145159	
7.2656	-654.635581419	
7.3828	-653.439480900	
7.5000	-650.401313877	
7.6172	-652.679176078	
7.7344	-650.738322757	
7.8516	-646.927448055	
7.9687	-621.964905798	
8.0859	-536.444736096	
8.2031	-449.116510849	
8.3203	-381.768173865	
8.4375	-319.838916404	
8.5547	-258.221547193	
8.6719	-201.520893348	
8.7891	-149.080209060	
8.9062	-124.215932799	
9.0234	-124.320642465	
9.1406	-122.781174180	
9.2578	-124.568578483	
9.3750	-114.618023113	
9.4922	-111.112193286	
9.6094	-125.136711695	
9.7266	-124.609905190	
9.8438	-126.463090661	
9.9609	-124.603921781	
10.0781	-130.699271925	
10.1953	-180.214456550	
10.3125	-242.869329592	
10.4297	-296.572416390	
10.5469	-364.365657420	
10.6641	-428.230923336	
10.7812	-517.486533177	
10.8984	-591.996018154	
11.0156	-636.815873562	
11.1328	-643.484492477	
11.2500	-648.377904039	
11.3672	-652.901070941	
11.4844	-656.658652117	
11.6016	-655.954983778	
11.7187	-653.773679757	
11.8359	-648.970915638	
11.9531	-643.966895785	
12.0703	-640.288625066	
12.1875	-641.137784731	
12.3047	-643.621456839	
12.4219	-646.246066100	
12.5391	-645.434599493	
12.6562	-639.603512564	
12.7734	-638.341182727	
12.8906	-638.794323044	
13.0078	-639.344651374	
13.1250	-638.589191417	
13.2422	-643.367392066	
13.3594	-646.891402252	
13.4766	-644.902923897	
13.5937	-643.793401134	
13.7109	-643.316714767	
13.8281	-646.654342958	
13.9453	-647.101088052	
14.0625	-645.761482602	
14.1797	-646.893533993	
14.2969	-644.718334503	
14.4141	-646.507882659	
14.5312	-646.410888441	
14.6484	-646.011719931	
14.7656	-647.125845318	
14.8828	-652.964151096	
15.0000	-656.128817571	
15.1172	-659.461358652	
15.2344	-661.464856091	
15.3516	-664.164221634	
15.4688	-666.921580223	
15.5859	-665.347047220	
15.7031	-664.425795950	
15.8203	-642.266783856	
15.9375	-548.987900387	
16.0547	-458.593020306	
16.1719	-384.432268784	
16.2891	-320.611163821	
16.4062	-260.699841500	
16.5234	-205.511585252	
16.6406	-155.686486662	
16.7578	-128.968491994	
16.8750	-130.412649653	
16.9922	-130.320972676	
17.1094	-130.882371524	
17.2266	-128.970732744	
17.3438	-121.084901807	
17.4609	-131.726347182	
17.5781	-131.708433290	
17.6953	-131.942997477	
17.8125	-131.304286680	
17.9297	-146.838538009	
18.0469	-190.794844501	
18.1641	-243.640075100	
18.2812	-302.033864267	
18.3984	-358.178400167	
18.5156	-433.766521887	
18.6328	-497.364351200	
18.7500	-584.681481703	
18.8672	-645.177627800	
18.9844	-652.127539635	
19.1016	-654.330742450	
19.2188	-654.004682968	
19.3359	-652.020177404	
19.4531	-649.050904376	
19.5703	-651.167335641	
19.6875	-648.232945648	
19.8047	-645.387022909	
19.9219	-645.044587779	
20.0391	-645.142211829	
20.1562	-646.229448209	
20.2734	-646.079935644	
20.3906	-643.612493837	
20.5078	-645.320793590	
20.6250	-647.653838815	
20.7422	-645.434357249	
20.8594	-644.448087877	
20.9766	-642.672202243	
21.0938	-645.589489859	
21.2109	-644.823128954	
21.3281	-647.803060688	
21.4453	-652.038684792	
21.5625	-655.561289967	
21.6797	-654.314560598	
21.7969	-654.059623749	
21.9141	-651.043016380	
22.0312	-651.610447086	
22.1484	-654.972008915	
22.2656	-654.401477494	
22.3828	-656.023829324	
22.5000	-653.799551342	
22.6172	-653.074565593	
22.7344	-655.732992018	
22.8516	-658.696063618	
22.9688	-660.834539024	
23.0859	-657.965506273	
23.2031	-656.171355494	
23.3203	-656.888104971	
23.4375	-655.893405531	
23.5547	-652.223467982	
23.6719	-630.869817964	
23.7891	-546.629128924	
23.9062	-466.080663819	
24.0234	-390.410470068	
24.1406	-322.496931016	
24.2578	-261.276986163	
24.3750	-207.781332302	
24.4922	-155.476316374	
