X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	-178.680935337	
0.0977	-180.094982154	
0.1953	-180.431143182	
0.2930	-179.331540281	
0.3906	-178.488279241	
0.4883	-177.190799900	
0.5859	-175.515239329	
0.6836	-169.517779702	
0.7812	-164.113622366	
0.8789	-157.571478678	
0.9766	-151.282733595	
1.0742	-141.733248344	
1.1719	-131.524643298	
1.2695	-119.521742127	
1.3672	-104.962193053	
1.4648	-85.913094391	
1.5625	-68.518771826	
1.6602	-47.158690248	
1.7578	-30.957712684	
1.8555	-7.418289256	
1.9531	14.487469580	
2.0508	36.290589929	
2.1484	64.967884746	
2.2461	85.166082670	
2.3438	101.116883466	
2.4414	116.372324869	
2.5391	144.030550570	
2.6367	176.602390924	
2.7344	196.608586809	
2.8320	203.894199409	
2.9297	205.228959994	
3.0273	205.435254388	
3.1250	207.881645253	
3.2227	205.988320067	
3.3203	207.893926988	
3.4180	208.181397113	
3.5156	208.548565283	
3.6133	207.580997093	
3.7109	207.473101927	
3.8086	201.003825024	
3.9063	187.085082152	
4.0039	163.253162051	
4.1016	139.191231937	
4.1992	123.278487563	
4.2969	98.701887333	
4.3945	74.409341597	
4.4922	52.447854690	
4.5898	25.911603058	
4.6875	-4.335270886	
4.7852	-23.342406952	
4.8828	-39.711658825	
4.9805	-60.780285376	
5.0781	-84.882409710	
5.1758	-104.960133985	
5.2734	-122.413218719	
5.3711	-136.924512928	
5.4687	-147.560895418	
5.5664	-158.161147320	
5.6641	-165.812147602	
5.7617	-170.810862327	
5.8594	-173.483217742	
5.9570	-174.771152696	
6.0547	-175.060185290	
6.1523	-173.894437856	
6.2500	-171.666938037	
6.3477	-172.878493679	
6.4453	-173.762996641	
6.5430	-172.957416546	
6.6406	-170.009715284	
6.7383	-163.269198558	
6.8359	-152.009972206	
6.9336	-140.830565022	
7.0312	-129.257669934	
7.1289	-117.657692044	
7.2266	-98.611348900	
7.3242	-65.701639702	
7.4219	-43.773194781	
7.5195	-24.825553670	
7.6172	-0.548063355	
7.7148	16.496914092	
7.8125	43.075388731	
7.9102	64.662294823	
8.0078	82.163816105	
8.1055	100.807078509	
8.2031	114.967313727	
8.3008	128.839134072	
8.3984	149.634171039	
8.4961	176.088592884	
8.5938	193.860433465	
8.6914	203.543988270	
8.7891	207.015819249	
8.8867	207.569950798	
8.9844	210.175277492	
9.0820	208.344911340	
9.1797	212.233546142	
9.2773	211.589639225	
9.3750	208.832425982	
9.4727	209.129222473	
9.5703	207.225287031	
9.6680	201.254038129	
9.7656	184.699373234	
9.8633	154.500693595	
9.9609	131.517036858	
10.0586	115.474861890	
10.1562	89.455339442	
10.2539	59.676951928	
10.3516	41.745666807	
10.4492	16.236272413	
10.5469	-6.759750844	
10.6445	-24.089836543	
10.7422	-48.034484564	
10.8398	-74.384372369	
10.9375	-95.701631387	
11.0352	-114.675979822	
11.1328	-130.484680698	
11.2305	-142.058556872	
11.3281	-152.130996959	
11.4258	-161.104924241	
11.5234	-167.787229902	
11.6211	-171.537119853	
11.7187	-173.522969867	
11.8164	-174.779606987	
11.9141	-174.956747401	
12.0117	-175.889699023	
12.1094	-176.704811391	
12.2070	-176.273606205	
12.3047	-171.587978834	
12.4023	-166.919029914	
12.5000	-160.366869466	
12.5977	-152.089088868	
12.6953	-144.309566403	
12.7930	-134.813302005	
12.8906	-123.943384862	
12.9883	-112.519118150	
13.0859	-99.443067047	
13.1836	-83.877469435	
