run_id,wavelength_um,reflectance_0
run_001,9.901e-06,0.00410388
run_001,9.906e-06,0.00403558
run_001,9.911e-06,0.00386739
run_001,9.916e-06,0.00353356
run_001,9.921e-06,0.00309506
run_001,9.926e-06,0.00267942
run_001,9.931e-06,0.00238225
run_001,9.936e-06,0.00220443
run_001,9.941e-06,0.00207155
run_001,9.946e-06,0.00189928
run_001,9.951e-06,0.00166116
run_001,9.956e-06,0.00139091
run_001,9.961e-06,0.00115115
run_001,9.966e-06,0.000971279
run_001,9.971e-06,0.000842317
run_001,9.976e-06,0.000727446
run_001,9.981e-06,0.000606259
run_001,9.986e-06,0.000480896
run_001,9.991e-06,0.000372526
run_001,9.996e-06,0.000294262
run_001,1.0001e-05,0.000248207
run_001,1.0006e-05,0.000227395
run_001,1.0011e-05,0.000226548
run_001,1.0016e-05,0.000244097
run_001,1.0021e-05,0.000282143
run_001,1.0026e-05,0.000348169
run_001,1.0031e-05,0.000452552
run_001,1.0036e-05,0.000600222
run_001,1.0041e-05,0.000780781
run_001,1.0046e-05,0.000977553
run_001,1.0051e-05,0.00119213
run_001,1.0056e-05,0.00145368
run_001,1.0061e-05,0.00179367
run_001,1.0066e-05,0.00219943
run_001,1.0071e-05,0.00262588
run_001,1.0076e-05,0.00304707
run_001,1.0081e-05,0.00351652
run_001,1.0086e-05,0.00410209
run_001,1.0091e-05,0.00480946
run_001,1.0096e-05,0.0055415
run_001,1.0101e-05,0.00625668
run_001,1.0106e-05,0.00702233
run_001,1.0111e-05,0.00797271
run_001,1.0116e-05,0.00907318
run_001,1.0121e-05,0.0102057
run_001,1.0126e-05,0.011305
run_001,1.0131e-05,0.0125506
run_001,1.0136e-05,0.0140326
run_001,1.0141e-05,0.015678
run_001,1.0146e-05,0.0172892
run_001,1.0151e-05,0.01901
run_001,1.0156e-05,0.0209943
run_001,1.0161e-05,0.0232604
run_001,1.0166e-05,0.0255393
run_001,1.0171e-05,0.0279729
run_001,1.0176e-05,0.030707
run_001,1.0181e-05,0.0338054
run_001,1.0186e-05,0.0369678
run_001,1.0191e-05,0.0404449
run_001,1.0196e-05,0.0442945
run_001,1.0201e-05,0.0485717
run_001,1.0206e-05,0.0530259
run_001,1.0211e-05,0.0580876
run_001,1.0216e-05,0.0635643
run_001,1.0221e-05,0.0696429
run_001,1.0226e-05,0.0761897
run_001,1.0231e-05,0.0836723
run_001,1.0236e-05,0.0916856
run_001,1.0241e-05,0.100873
run_001,1.0246e-05,0.110859
run_001,1.0251e-05,0.122368
run_001,1.0256e-05,0.134969
run_001,1.0261e-05,0.149678
run_001,1.0266e-05,0.165915
run_001,1.0271e-05,0.185058
run_001,1.0276e-05,0.206424
run_001,1.0281e-05,0.231543
run_001,1.0286e-05,0.259788
run_001,1.0291e-05,0.291523
run_001,1.0296e-05,0.326522
run_001,1.0301e-05,0.360662
run_001,1.0306e-05,0.394371
run_001,1.0311e-05,0.420004
run_001,1.0316e-05,0.437821
run_001,1.0321e-05,0.443971
run_001,1.0326e-05,0.438673
run_001,1.0331e-05,0.424571
run_001,1.0336e-05,0.406838
run_001,1.0341e-05,0.396588
run_001,1.0346e-05,0.401491
run_001,1.0351e-05,0.424298
run_001,1.0356e-05,0.462661
run_001,1.0361e-05,0.506735
run_001,1.0366e-05,0.551793
run_001,1.0371e-05,0.593353
run_001,1.0376e-05,0.627257
run_001,1.0381e-05,0.65711
run_001,1.0386e-05,0.679741
run_001,1.0391e-05,0.699785
run_001,1.0396e-05,0.714885
run_001,1.0401e-05,0.728448
run_001,1.0406e-05,0.738705
run_001,1.0411e-05,0.74787
run_001,1.0416e-05,0.754908
run_001,1.0421e-05,0.760971
run_001,1.0426e-05,0.76553
run_001,1.0431e-05,0.76916
run_001,1.0436e-05,0.771597
run_001,1.0441e-05,0.77308
run_001,1.0446e-05,0.773477
run_001,1.0451e-05,0.772821
run_001,1.0456e-05,0.771025
run_001,1.0461e-05,0.767981
run_001,1.0466e-05,0.763573
run_001,1.0471e-05,0.757583
run_001,1.0476e-05,0.749779
run_001,1.0481e-05,0.739831
run_001,1.0486e-05,0.727276
run_001,1.0491e-05,0.711647
run_001,1.0496e-05,0.692072
run_001,1.0501e-05,0.667938
run_001,1.0506e-05,0.637837
run_001,1.0511e-05,0.601122
run_001,1.0516e-05,0.556289
run_001,1.0521e-05,0.503294
run_001,1.0526e-05,0.442057
run_001,1.0531e-05,0.3761
run_001,1.0536e-05,0.313009
run_001,1.0541e-05,0.265157
run_001,1.0546e-05,0.241883
run_001,1.0551e-05,0.240584
run_001,1.0556e-05,0.247854
run_001,1.0561e-05,0.250426
run_001,1.0566e-05,0.242275
run_001,1.0571e-05,0.222797
run_001,1.0576e-05,0.192957
run_001,1.0581e-05,0.154444
run_001,1.0586e-05,0.115028
run_001,1.0591e-05,0.0876253
run_001,1.0596e-05,0.0860512
run_001,1.0601e-05,0.1154
run_001,1.0606e-05,0.169337
run_001,1.0611e-05,0.235959
run_001,1.0616e-05,0.305946
run_001,1.0621e-05,0.375324
run_001,1.0626e-05,0.443103
run_001,1.0631e-05,0.506879
run_001,1.0636e-05,0.56471
run_001,1.0641e-05,0.614684
run_001,1.0646e-05,0.657307
run_001,1.0651e-05,0.692966
run_001,1.0656e-05,0.722999
run_001,1.0661e-05,0.748239
run_001,1.0666e-05,0.769657
run_001,1.0671e-05,0.787927
run_001,1.0676e-05,0.803619
run_001,1.0681e-05,0.817224
run_001,1.0686e-05,0.82905
run_001,1.0691e-05,0.83946
run_001,1.0696e-05,0.848604
run_001,1.0701e-05,0.856757
run_001,1.0706e-05,0.864
run_001,1.0711e-05,0.870516
run_001,1.0716e-05,0.876375
run_001,1.0721e-05,0.881683
run_001,1.0726e-05,0.886507
run_001,1.0731e-05,0.890903
run_001,1.0736e-05,0.894935
run_001,1.0741e-05,0.898629
run_001,1.0746e-05,0.902047
run_001,1.0751e-05,0.905191
run_001,1.0756e-05,0.908118
run_001,1.0761e-05,0.910831
run_001,1.0766e-05,0.913365
run_001,1.0771e-05,0.91573
run_001,1.0776e-05,0.917945
run_001,1.0781e-05,0.920026
run_001,1.0786e-05,0.921979
run_001,1.0791e-05,0.923826
run_001,1.0796e-05,0.925563
run_001,1.0801e-05,0.927211
run_001,1.0806e-05,0.928768
run_001,1.0811e-05,0.930249
run_001,1.0816e-05,0.931656
run_001,1.0821e-05,0.932995
run_001,1.0826e-05,0.934273
run_001,1.0831e-05,0.93549
run_001,1.0836e-05,0.936658
run_001,1.0841e-05,0.937771
run_001,1.0846e-05,0.938842
run_001,1.0851e-05,0.939866
run_001,1.0856e-05,0.940851
run_001,1.0861e-05,0.941799
run_001,1.0866e-05,0.94271
run_001,1.0871e-05,0.94359
run_001,1.0876e-05,0.944436
run_001,1.0881e-05,0.945256
run_001,1.0886e-05,0.946044
run_001,1.0891e-05,0.946809
run_001,1.0896e-05,0.947549
run_001,1.0901e-05,0.948265
run_001,1.0906e-05,0.948961
run_001,1.0911e-05,0.949634
run_001,1.0916e-05,0.95029
run_001,1.0921e-05,0.950924
run_001,1.0926e-05,0.951543
run_001,1.0931e-05,0.952144
run_001,1.0936e-05,0.952729
run_001,1.0941e-05,0.953299
run_001,1.0946e-05,0.953855
run_001,1.0951e-05,0.954397
run_001,1.0956e-05,0.954925
run_001,1.0961e-05,0.955442
run_001,1.0966e-05,0.955945
run_001,1.0971e-05,0.956438
run_001,1.0976e-05,0.95692
run_001,1.0981e-05,0.95739
run_001,1.0986e-05,0.957852
run_001,1.0991e-05,0.958302
run_001,1.0996e-05,0.958745
run_001,1.1001e-05,0.959177
run_001,1.1006e-05,0.959602
run_001,1.1011e-05,0.960017
run_001,1.1016e-05,0.960425
run_001,1.1021e-05,0.960826
run_001,1.1026e-05,0.961218
run_001,1.1031e-05,0.961604
run_001,1.1036e-05,0.961982
run_001,1.1041e-05,0.962354
run_001,1.1046e-05,0.962719
run_001,1.1051e-05,0.963077
run_001,1.1056e-05,0.96343
run_001,1.1061e-05,0.963776
run_001,1.1066e-05,0.964117
run_001,1.1071e-05,0.964452
run_001,1.1076e-05,0.964781
run_001,1.1081e-05,0.965105
run_001,1.1086e-05,0.965423
run_001,1.1091e-05,0.965737
run_001,1.1096e-05,0.966044
run_001,1.1101e-05,0.966348
run_001,1.1106e-05,0.966645
run_001,1.1111e-05,0.966938
run_001,1.1116e-05,0.967226
run_001,1.1121e-05,0.967509
run_001,1.1126e-05,0.967788
run_001,1.1131e-05,0.968059
run_001,1.1136e-05,0.968328
run_001,1.1141e-05,0.96859
run_001,1.1146e-05,0.968847
run_001,1.1151e-05,0.9691
run_001,1.1156e-05,0.969344
run_001,1.1161e-05,0.969585
run_001,1.1166e-05,0.969816
run_001,1.1171e-05,0.970041
run_001,1.1176e-05,0.970259
run_001,1.1181e-05,0.970463
run_001,1.1186e-05,0.970666
run_001,1.1191e-05,0.970839
run_001,1.1196e-05,0.971009
run_001,1.1201e-05,0.971148
run_001,1.1206e-05,0.971256
run_001,1.1211e-05,0.971354
run_001,1.1216e-05,0.971318
run_001,1.1221e-05,0.971289
run_001,1.1226e-05,0.97098
run_001,1.1231e-05,0.970537
run_001,1.1236e-05,0.969849
run_001,1.1241e-05,0.968233
run_001,1.1246e-05,0.966657
run_001,1.1251e-05,0.966315
run_001,1.1256e-05,0.966306
run_001,1.1261e-05,0.966928
run_001,1.1266e-05,0.968758
run_001,1.1271e-05,0.970552
run_001,1.1276e-05,0.971218
run_001,1.1281e-05,0.971735
run_001,1.1286e-05,0.971811
run_001,1.1291e-05,0.971364
run_001,1.1296e-05,0.970943
run_001,1.1301e-05,0.968781
run_001,1.1306e-05,0.966633
run_001,1.1311e-05,0.965583
run_001,1.1316e-05,0.965529
run_001,1.1321e-05,0.965607
run_001,1.1326e-05,0.968343
run_001,1.1331e-05,0.971054
run_001,1.1336e-05,0.972865
run_001,1.1341e-05,0.973994
run_001,1.1346e-05,0.975036
run_001,1.1351e-05,0.975563
run_001,1.1356e-05,0.976077
run_001,1.1361e-05,0.97647
run_001,1.1366e-05,0.976786
run_001,1.1371e-05,0.977086
run_001,1.1376e-05,0.977319
run_001,1.1381e-05,0.977547
run_001,1.1386e-05,0.97775
run_001,1.1391e-05,0.977936
run_001,1.1396e-05,0.978117
run_001,1.1401e-05,0.978279
run_001,1.1406e-05,0.978438
run_001,1.1411e-05,0.978588
run_001,1.1416e-05,0.978731
run_001,1.1421e-05,0.97887
run_001,1.1426e-05,0.979001
run_001,1.1431e-05,0.97913
run_001,1.1436e-05,0.979253
run_001,1.1441e-05,0.979372
run_001,1.1446e-05,0.979489
run_001,1.1451e-05,0.979601
run_001,1.1456e-05,0.97971
run_001,1.1461e-05,0.979816
run_001,1.1466e-05,0.979918
run_001,1.1471e-05,0.980019
run_001,1.1476e-05,0.980115
run_001,1.1481e-05,0.980209
run_001,1.1486e-05,0.980301
run_001,1.1491e-05,0.98039
run_001,1.1496e-05,0.980477
run_001,1.1501e-05,0.98056
run_001,1.1506e-05,0.980642
run_001,1.1511e-05,0.980721
run_001,1.1516e-05,0.980798
