variant,score,coeff_rmse,coeff_rmse_std,recon_rmse,recon_rmse_std,peak_mae,peak_loc_um,hidden_dim,n_layers,p,lr,wd,batch_size,peak_weight_alpha,peak_loss_weight
pca_phys_4D,0.16568271903336018,0.16435391597437848,0.01328803058981685,0.02998679775183239,0.0024244353886203967,0.023506872355937958,0.007398710353299975,256,4,0.0,0.003414218436838402,7.732659086694585e-05,32,,0.006124418185053634
pca_4D,0.17179490763020108,0.170720370118689,0.010745375115120637,0.03114837395446053,0.001960521518609346,0.03641554806381464,0.007791783777065575,256,3,0.036,0.0075,0.00043,32,,
pca_n_peak_4D,0.18300603399634882,0.18210713075501883,0.008989032413299814,0.03322591807082669,0.0016400723724797706,0.0303635960444808,0.007636292604729533,512,3,0.0,0.003562598189575776,1.0254301302633803e-05,32,2.0,
