X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
0.0000	-591.295450529	
0.1172	-594.313608256	
0.2344	-596.603098135	
0.3516	-594.328385097	
0.4688	-598.529029269	
0.5859	-600.834071168	
0.7031	-604.195100061	
0.8203	-599.549406498	
0.9375	-599.431046422	
1.0547	-591.305576299	
1.1719	-578.734166439	
1.2891	-561.751748325	
1.4062	-528.390049466	
1.5234	-486.330023528	
1.6406	-447.128226290	
1.7578	-402.111814667	
1.8750	-370.352797482	
1.9922	-344.362634922	
2.1094	-302.004019892	
2.2266	-260.269423604	
2.3438	-256.467487680	
2.4609	-245.422452855	
2.5781	-239.953810352	
2.6953	-231.973080601	
2.8125	-236.765452483	
2.9297	-222.603909151	
3.0469	-244.769922077	
3.1641	-256.182270418	
3.2812	-262.150612401	
3.3984	-283.503414567	
3.5156	-327.519458257	
3.6328	-377.121632450	
3.7500	-421.140752630	
3.8672	-466.942323237	
3.9844	-514.084274474	
4.1016	-550.018548733	
4.2187	-563.802822348	
4.3359	-575.381664510	
4.4531	-579.919172215	
4.5703	-588.303648874	
4.6875	-596.193077125	
4.8047	-604.618589799	
4.9219	-603.342209850	
5.0391	-599.597419120	
5.1562	-598.715508161	
5.2734	-599.491994836	
5.3906	-599.908556415	
5.5078	-599.322327629	
5.6250	-596.173261623	
5.7422	-596.967480507	
5.8594	-598.490803276	
5.9766	-598.280245400	
6.0937	-597.358654988	
6.2109	-597.839459491	
6.3281	-597.176778718	
6.4453	-593.799277281	
6.5625	-592.988924993	
6.6797	-594.079746574	
6.7969	-589.818250885	
6.9141	-592.585493000	
7.0312	-596.351068205	
7.1484	-596.051607037	
7.2656	-594.747708250	
7.3828	-598.862501396	
7.5000	-599.833170300	
7.6172	-597.859323441	
7.7344	-599.398052884	
7.8516	-598.572100128	
7.9687	-601.132418017	
8.0859	-598.453255565	
8.2031	-600.850156123	
8.3203	-604.431917112	
8.4375	-603.924078257	
8.5547	-604.927934493	
8.6719	-600.720798201	
8.7891	-596.214297638	
8.9062	-590.057345022	
9.0234	-579.305182347	
9.1406	-567.817181422	
9.2578	-536.742404663	
9.3750	-491.951133964	
9.4922	-449.085067669	
9.6094	-406.951302871	
9.7266	-373.824773807	
9.8438	-347.953794951	
9.9609	-306.300083700	
10.0781	-267.625189864	
10.1953	-256.943568438	
10.3125	-250.868421384	
10.4297	-239.409368535	
10.5469	-229.989204870	
10.6641	-243.548167992	
10.7812	-220.546076540	
10.8984	-239.679203347	
11.0156	-256.060543160	
11.1328	-258.181286356	
11.2500	-282.661594875	
11.3672	-325.119190517	
11.4844	-368.926904969	
11.6016	-413.314259189	
11.7187	-462.557864849	
11.8359	-509.285240901	
11.9531	-547.536426981	
12.0703	-562.021655810	
12.1875	-572.576487093	
12.3047	-580.353950491	
12.4219	-587.031435510	
12.5391	-591.733765557	
12.6562	-595.653359052	
12.7734	-597.056916733	
12.8906	-600.566101629	
13.0078	-600.993031222	
13.1250	-596.759781101	
13.2422	-600.280399881	
13.3594	-598.155780792	
13.4766	-599.112448033	
13.5937	-600.766630633	
13.7109	-602.773471030	
13.8281	-600.985860820	
13.9453	-594.857783605	
14.0625	-595.734510557	
14.1797	-594.585405239	
14.2969	-594.429885040	
14.4141	-595.800788324	
14.5312	-594.110995959	
14.6484	-594.251400176	
14.7656	-595.313443253	
14.8828	-594.581868486	
15.0000	-596.122390530	
15.1172	-595.991676045	
15.2344	-593.399769630	
15.3516	-593.437171995	
15.4688	-594.739908015	
15.5859	-598.561296077	
15.7031	-598.521761970	
15.8203	-594.140888783	
15.9375	-597.642903277	
16.0547	-593.811050305	
16.1719	-593.650782138	
16.2891	-595.278366423	
16.4062	-596.200344424	
16.5234	-595.966676536	
16.6406	-590.543866466	
16.7578	-572.493300744	
16.8750	-555.568439638	
16.9922	-533.901908174	
17.1094	-515.776537720	
17.2266	-488.596451845	
17.3438	-453.529408601	
17.4609	-408.614932959	
17.5781	-376.490709775	
17.6953	-346.538149329	
17.8125	-304.665450135	
17.9297	-262.375317286	
18.0469	-254.321308937	
18.1641	-244.442045770	
18.2812	-237.823837686	
18.3984	-230.742484636	
18.5156	-239.294424089	
18.6328	-223.197114545	
18.7500	-240.401790887	
18.8672	-251.017788603	
18.9844	-259.024704855	
19.1016	-276.359296278	
19.2188	-322.734184104	
19.3359	-365.444875547	
19.4531	-411.538858042	
19.5703	-457.352928403	
19.6875	-500.733325673	
19.8047	-544.791955735	
19.9219	-561.945106927	
20.0391	-572.632299950	
20.1562	-581.295647096	
20.2734	-587.105271268	
20.3906	-594.364963835	
20.5078	-593.706255853	
20.6250	-594.987868258	
20.7422	-596.900136870	
20.8594	-596.093902718	
20.9766	-593.105589366	
21.0938	-593.626848499	
21.2109	-594.710984165	
21.3281	-592.382590012	
21.4453	-590.989691036	
21.5625	-591.590357523	
21.6797	-594.432501267	
21.7969	-594.405951402	
21.9141	-592.551578938	
22.0312	-595.880244127	
22.1484	-593.944574812	
22.2656	-595.157002530	
22.3828	-598.624666924	
22.5000	-598.735905047	
22.6172	-595.480639579	
22.7344	-596.390602312	
22.8516	-596.753482776	
22.9688	-597.490193100	
23.0859	-597.604095900	
23.2031	-593.551559282	
23.3203	-596.603970211	
23.4375	-597.721244760	
23.5547	-598.271427743	
23.6719	-591.681295658	
23.7891	-592.258755237	
23.9062	-593.663669481	
24.0234	-597.332541160	
24.1406	-599.353916155	
24.2578	-598.765410281	
24.3750	-597.349401294	
24.4922	-592.371156128	
24.6094	-582.303379225	
24.7266	-571.224769478	
24.8438	-557.209637997	
24.9609	-533.938196220	
25.0781	-492.969476350	
25.1953	-449.343735065	
25.3125	-404.844125299	
25.4297	-374.306668404	
25.5469	-346.268169170	
25.6641	-305.149888287	
25.7812	-265.935663967	
25.8984	-254.536711680	
26.0156	-248.990042610	
26.1328	-235.242226611	
26.2500	-231.837981513	
26.3672	-243.481841776	
26.4844	-221.375880965	
26.6016	-244.739908132	
26.7188	-257.806972009	
26.8359	-258.650584302	
26.9531	-280.762819214	
27.0703	-321.843310143	
27.1875	-366.878713641	
27.3047	-414.991697146	
27.4219	-466.205031529	
27.5391	-509.932127410	
27.6562	-546.996660459	
27.7734	-564.699946186	
27.8906	-577.408707998	
28.0078	-581.767682391	
28.1250	-588.154087861	
28.2422	-597.104105728	
28.3594	-600.806697675	
