x(um)
y(nm)

X	Y
0.0000	-135.257842686	
0.1172	-88.288974288	
0.2344	-59.375189449	
0.3516	-94.917956142	
0.4688	-140.303443601	
0.5859	-180.615974820	
0.7031	-226.411392447	
0.8203	-267.010667060	
0.9375	-307.055204516	
1.0547	-354.401415303	
1.1719	-404.191764092	
1.2891	-438.449375572	
1.4062	-455.502383384	
1.5234	-470.708334480	
1.6406	-487.530629773	
1.7578	-499.163540639	
1.8750	-512.077918564	
1.9922	-517.870731051	
2.1094	-516.590232966	
2.2266	-515.061968433	
2.3438	-519.762554328	
2.4609	-520.315595783	
2.5781	-513.160067835	
2.6953	-508.978027948	
2.8125	-510.606435861	
2.9297	-510.439724022	
3.0469	-510.130185533	
3.1641	-506.662424241	
3.2812	-509.928881350	
3.3984	-508.985343696	
3.5156	-509.029189733	
3.6328	-507.650825355	
3.7500	-511.462281441	
3.8672	-513.443976982	
3.9844	-513.477067417	
4.1016	-507.973444982	
4.2187	-509.612124011	
4.3359	-508.885394110	
4.4531	-504.740708140	
4.5703	-503.542475880	
4.6875	-508.277024286	
4.8047	-509.413968991	
4.9219	-507.658431794	
5.0391	-509.993996349	
5.1562	-514.194785867	
5.2734	-515.865053422	
5.3906	-514.476514825	
5.5078	-515.883851502	
5.6250	-516.141695271	
5.7422	-516.189901688	
5.8594	-517.640454570	
5.9766	-519.292456980	
6.0937	-518.095968871	
6.2109	-516.478704150	
6.3281	-512.350732968	
6.4453	-506.815037520	
6.5625	-495.980124533	
6.6797	-486.766836647	
6.7969	-472.092125108	
6.9141	-460.816813802	
7.0312	-443.527812567	
7.1484	-414.615638647	
7.2656	-366.445534171	
7.3828	-323.706088449	
7.5000	-282.149104949	
7.6172	-236.213186207	
7.7344	-188.094158732	
7.8516	-142.420468363	
7.9687	-97.651914029	
8.0859	-64.498508071	
8.2031	-93.570150756	
8.3203	-128.643910196	
8.4375	-172.638333671	
8.5547	-219.439436472	
8.6719	-259.760712674	
8.7891	-310.654092106	
8.9062	-358.357708658	
9.0234	-398.645022349	
9.1406	-431.445298135	
9.2578	-452.473712299	
9.3750	-473.542048158	
9.4922	-485.125638288	
9.6094	-494.293868921	
9.7266	-501.178908000	
9.8438	-508.229641496	
9.9609	-510.706676138	
10.0781	-511.017425844	
10.1953	-509.857661820	
10.3125	-510.877699908	
10.4297	-508.697704001	
10.5469	-513.052075771	
10.6641	-514.222643847	
10.7812	-511.785821592	
10.8984	-506.805590032	
11.0156	-507.362991865	
11.1328	-514.072840590	
11.2500	-512.908958430	
11.3672	-513.938928493	
11.4844	-510.918445232	
11.6016	-513.621638219	
