hidden_dim,n_layers,lr,batch_size,weight_decay,alpha,wl_mean_rmse,Q_mean_rmse,wl_std_rmse,Q_std_rmse
64,2,0.001,32,0.0,3.0,0.03674012,37.473427,0.014223917,11.659729
64,2,0.001,32,0.0,4.0,0.034680303,34.74018,0.015508772,11.593114
64,2,0.001,32,0.0001,1.0,0.03814428,38.379734,0.013234862,10.812683
64,2,0.001,32,0.0001,2.0,0.0342907,37.33206,0.012671307,11.503016
64,2,0.001,32,0.0001,3.0,0.034771767,37.961685,0.011074553,11.621224
64,2,0.001,32,0.0001,4.0,0.033450846,36.529457,0.011549977,10.170777
64,2,0.001,32,0.001,1.0,0.042486794,41.224,0.014436315,9.257272
64,2,0.001,32,0.001,2.0,0.036152262,37.595207,0.011033441,9.355824
64,2,0.001,32,0.001,3.0,0.03535231,38.640663,0.01289909,11.529867
64,2,0.001,32,0.001,4.0,0.032981817,37.637497,0.01102642,11.13107
64,2,0.001,32,0.01,1.0,0.06699222,44.770683,0.022273997,8.136908
64,2,0.001,32,0.01,2.0,0.06798613,47.16126,0.028514989,8.502736
64,2,0.001,32,0.01,3.0,0.065032735,48.119007,0.026619256,10.18782
64,2,0.001,32,0.01,4.0,0.061463185,46.861412,0.023660595,11.140587
64,2,0.001,64,0.0,1.0,0.054845087,44.57705,0.014162556,9.990538
64,2,0.001,64,0.0,2.0,0.055232793,43.777374,0.018335622,11.396851
64,2,0.001,64,0.0,3.0,0.04918158,43.009823,0.020729149,11.492757
64,2,0.001,64,0.0,4.0,0.050362192,42.355698,0.020281794,10.626312
64,2,0.001,64,0.0001,1.0,0.051319968,41.706226,0.0146380225,10.895434
64,2,0.001,64,0.0001,2.0,0.05157906,44.04817,0.018906923,10.063955
64,2,0.001,64,0.0001,3.0,0.042233486,41.84197,0.016723394,11.720039
64,2,0.001,64,0.0001,4.0,0.04290124,40.179012,0.017624402,10.162239
64,2,0.001,64,0.001,1.0,0.055907898,42.972694,0.019246303,9.43509
64,2,0.001,64,0.001,2.0,0.056765318,44.889946,0.021485478,10.075932
64,2,0.001,64,0.001,3.0,0.043944657,41.084267,0.015653007,10.89602
64,2,0.001,64,0.001,4.0,0.042663235,39.119484,0.018059364,12.762756
64,2,0.001,64,0.01,1.0,0.075857356,47.49653,0.023761867,8.500241
64,2,0.001,64,0.01,2.0,0.077173516,49.795265,0.030228905,9.937187
64,2,0.001,64,0.01,3.0,0.07464585,51.222767,0.029659582,10.962476
64,2,0.001,64,0.01,4.0,0.073307365,51.65055,0.027390247,10.977097
64,2,0.005,32,0.0,1.0,0.03176687,28.095987,0.014435216,7.9337864
64,2,0.005,32,0.0,2.0,0.02561124,27.052155,0.016286714,8.087446
64,2,0.005,32,0.0,3.0,0.027294198,28.545635,0.007854052,3.1201386
64,2,0.005,32,0.0,4.0,0.028009051,29.037104,0.013479314,4.388627
64,2,0.005,32,0.0001,1.0,0.026052505,27.726583,0.010930338,5.366655
64,2,0.005,32,0.0001,2.0,0.026296297,26.541332,0.011235356,6.069255
64,2,0.005,32,0.0001,3.0,0.02949876,26.948837,0.00755972,6.2026067
64,2,0.005,32,0.0001,4.0,0.03031997,27.080435,0.012035798,3.9526322
64,2,0.005,32,0.001,1.0,0.027309824,29.262379,0.006856022,4.533456
64,2,0.005,32,0.001,2.0,0.03091995,27.302841,0.0074423393,3.9035878
64,2,0.005,32,0.001,3.0,0.027797509,28.898489,0.005550317,5.0400853
64,2,0.005,32,0.001,4.0,0.030647859,27.424356,0.0056137913,5.621249
64,2,0.005,32,0.01,1.0,0.05729563,37.930946,0.019559942,9.48674
64,2,0.005,32,0.01,2.0,0.05589386,38.084785,0.017696064,9.395213
64,2,0.005,32,0.01,3.0,0.052633107,38.343235,0.012787146,12.448483
64,2,0.005,32,0.01,4.0,0.050798904,37.473175,0.0131823765,9.941225
64,2,0.005,64,0.0,1.0,0.034552537,33.168526,0.015568308,8.895643
64,2,0.005,64,0.0,2.0,0.031473357,30.875544,0.008911133,7.42772
64,2,0.005,64,0.0,3.0,0.03522497,30.285206,0.008517683,4.7378845
64,2,0.005,64,0.0,4.0,0.032890923,33.428886,0.008517709,5.842744
64,2,0.005,64,0.0001,1.0,0.027778586,32.551186,0.010802476,8.385817
64,2,0.005,64,0.0001,2.0,0.0320316,30.227692,0.009725448,5.8950257
64,2,0.005,64,0.0001,3.0,0.03080684,29.924082,0.012612786,5.4780717
64,2,0.005,64,0.0001,4.0,0.03417291,30.238052,0.0062702727,6.3122873
64,2,0.005,64,0.001,1.0,0.030138424,28.486181,0.008740597,5.479328
64,2,0.005,64,0.001,2.0,0.027410436,30.436874,0.008961516,5.4515505
64,2,0.005,64,0.001,3.0,0.028365105,29.819683,0.0065657427,6.2631235
64,2,0.005,64,0.001,4.0,0.03312422,31.572409,0.003981393,5.9325037
64,2,0.005,64,0.01,1.0,0.05755202,39.723274,0.018159429,10.441837
64,2,0.005,64,0.01,2.0,0.054404728,38.123524,0.0193963,10.06559
64,2,0.005,64,0.01,3.0,0.05746854,38.476734,0.01308311,11.232076
64,2,0.005,64,0.01,4.0,0.05356436,38.59322,0.013475089,12.373744
64,3,0.0001,32,0.0,1.0,0.09212735,53.286274,0.019852877,10.529468
64,3,0.0001,32,0.0,2.0,0.09352821,57.57124,0.021130882,9.608198
64,3,0.0001,32,0.0,3.0,0.10008669,59.772045,0.020491702,8.471149
64,3,0.0001,32,0.0,4.0,0.09986248,61.66755,0.020482685,10.706826
64,3,0.0001,32,0.0001,1.0,0.09245875,51.37728,0.018840302,8.629969
64,3,0.0001,32,0.0001,2.0,0.09128704,54.974678,0.020470852,8.120428
64,3,0.0001,32,0.0001,3.0,0.094894566,58.010895,0.021310424,8.532598
64,3,0.0001,32,0.0001,4.0,0.09492196,58.683216,0.019234223,10.532987
64,3,0.0001,32,0.001,1.0,0.09393021,52.800262,0.020080538,10.129509
64,3,0.0001,32,0.001,2.0,0.0942094,56.184326,0.020735906,9.102268
64,3,0.0001,32,0.001,3.0,0.09602223,59.41215,0.018803105,8.027723
64,3,0.0001,32,0.001,4.0,0.096567325,59.70957,0.019099476,10.368787
64,3,0.0001,32,0.01,1.0,0.09443858,51.773357,0.018395739,10.172417
64,3,0.0001,32,0.01,2.0,0.09615102,56.51367,0.017974835,8.393332
64,3,0.0001,32,0.01,3.0,0.098375715,58.758156,0.019413725,8.991128
64,3,0.0001,32,0.01,4.0,0.097652905,60.083508,0.0149779,9.515393
64,3,0.0001,64,0.0,1.0,0.100241445,58.98504,0.019989757,11.175013
64,3,0.0001,64,0.0,2.0,0.10571061,62.107086,0.019071246,10.911471
