run_id,wavelength_um,reflectance_0
run_003,9.901e-06,0.00411546
run_003,9.906e-06,0.00404647
run_003,9.911e-06,0.00386524
run_003,9.916e-06,0.00351723
run_003,9.921e-06,0.00307334
run_003,9.926e-06,0.00266334
run_003,9.931e-06,0.00237707
run_003,9.936e-06,0.00220722
run_003,9.941e-06,0.00207487
run_003,9.946e-06,0.00189745
run_003,9.951e-06,0.00165391
run_003,9.956e-06,0.00138217
run_003,9.961e-06,0.00114511
run_003,9.966e-06,0.000969211
run_003,9.971e-06,0.000842394
run_003,9.976e-06,0.00072708
run_003,9.981e-06,0.000604278
run_003,9.986e-06,0.000477915
run_003,9.991e-06,0.000369817
run_003,9.996e-06,0.000292499
run_003,1.0001e-05,0.000247155
run_003,1.0006e-05,0.000226396
run_003,1.0011e-05,0.000225057
run_003,1.0016e-05,0.000241953
run_003,1.0021e-05,0.000279644
run_003,1.0026e-05,0.00034589
run_003,1.0031e-05,0.000450776
run_003,1.0036e-05,0.000598341
run_003,1.0041e-05,0.000777532
run_003,1.0046e-05,0.000972344
run_003,1.0051e-05,0.00118607
run_003,1.0056e-05,0.00144861
run_003,1.0061e-05,0.0017897
run_003,1.0066e-05,0.00219402
run_003,1.0071e-05,0.00261645
run_003,1.0076e-05,0.00303454
run_003,1.0081e-05,0.00350472
run_003,1.0086e-05,0.00409271
run_003,1.0091e-05,0.00479891
run_003,1.0096e-05,0.005525
run_003,1.0101e-05,0.0062349
run_003,1.0106e-05,0.00700107
run_003,1.0111e-05,0.0079544
run_003,1.0116e-05,0.00905238
run_003,1.0121e-05,0.0101765
run_003,1.0126e-05,0.0112703
run_003,1.0131e-05,0.0125175
run_003,1.0136e-05,0.0140007
run_003,1.0141e-05,0.015639
run_003,1.0146e-05,0.0172407
run_003,1.0151e-05,0.0189593
run_003,1.0156e-05,0.0209448
run_003,1.0161e-05,0.0232048
run_003,1.0166e-05,0.0254729
run_003,1.0171e-05,0.0279018
run_003,1.0176e-05,0.030635
run_003,1.0181e-05,0.0337254
run_003,1.0186e-05,0.0368769
run_003,1.0191e-05,0.0403486
run_003,1.0196e-05,0.0441934
run_003,1.0201e-05,0.0484595
run_003,1.0206e-05,0.0529036
run_003,1.0211e-05,0.0579584
run_003,1.0216e-05,0.0634245
run_003,1.0221e-05,0.0694908
run_003,1.0226e-05,0.0760277
run_003,1.0231e-05,0.0834981
run_003,1.0236e-05,0.091498
run_003,1.0241e-05,0.100673
run_003,1.0246e-05,0.110645
run_003,1.0251e-05,0.122139
run_003,1.0256e-05,0.134725
run_003,1.0261e-05,0.149418
run_003,1.0266e-05,0.165639
run_003,1.0271e-05,0.184766
run_003,1.0276e-05,0.206116
run_003,1.0281e-05,0.23122
run_003,1.0286e-05,0.259451
run_003,1.0291e-05,0.291173
run_003,1.0296e-05,0.326158
run_003,1.0301e-05,0.360279
run_003,1.0306e-05,0.393954
run_003,1.0311e-05,0.419521
run_003,1.0316e-05,0.437225
run_003,1.0321e-05,0.443193
run_003,1.0326e-05,0.437627
run_003,1.0331e-05,0.423159
run_003,1.0336e-05,0.404972
run_003,1.0341e-05,0.394242
run_003,1.0346e-05,0.398742
run_003,1.0351e-05,0.421316
run_003,1.0356e-05,0.459706
run_003,1.0361e-05,0.503976
run_003,1.0366e-05,0.549368
run_003,1.0371e-05,0.591274
run_003,1.0376e-05,0.625459
run_003,1.0381e-05,0.655537
run_003,1.0386e-05,0.678283
run_003,1.0391e-05,0.698381
run_003,1.0396e-05,0.713437
run_003,1.0401e-05,0.726894
run_003,1.0406e-05,0.736959
run_003,1.0411e-05,0.745855
run_003,1.0416e-05,0.752536
run_003,1.0421e-05,0.758142
run_003,1.0426e-05,0.762133
run_003,1.0431e-05,0.765057
run_003,1.0436e-05,0.766632
run_003,1.0441e-05,0.767055
run_003,1.0446e-05,0.766158
run_003,1.0451e-05,0.763913
run_003,1.0456e-05,0.760161
run_003,1.0461e-05,0.754704
run_003,1.0466e-05,0.74729
run_003,1.0471e-05,0.737561
run_003,1.0476e-05,0.72504
run_003,1.0481e-05,0.709183
run_003,1.0486e-05,0.689113
run_003,1.0491e-05,0.664143
run_003,1.0496e-05,0.632966
run_003,1.0501e-05,0.595365
run_003,1.0506e-05,0.550568
run_003,1.0511e-05,0.499976
run_003,1.0516e-05,0.443316
run_003,1.0521e-05,0.381103
run_003,1.0526e-05,0.313979
run_003,1.0531e-05,0.249184
run_003,1.0536e-05,0.198798
run_003,1.0541e-05,0.174489
run_003,1.0546e-05,0.17697
run_003,1.0551e-05,0.194348
run_003,1.0556e-05,0.212075
run_003,1.0561e-05,0.223843
run_003,1.0566e-05,0.231071
run_003,1.0571e-05,0.235982
run_003,1.0576e-05,0.239987
run_003,1.0581e-05,0.249198
run_003,1.0586e-05,0.274302
run_003,1.0591e-05,0.321672
run_003,1.0596e-05,0.385708
run_003,1.0601e-05,0.455003
run_003,1.0606e-05,0.519618
run_003,1.0611e-05,0.574983
run_003,1.0616e-05,0.620064
run_003,1.0621e-05,0.655369
run_003,1.0626e-05,0.681974
run_003,1.0631e-05,0.700388
run_003,1.0636e-05,0.71106
run_003,1.0641e-05,0.713763
run_003,1.0646e-05,0.708357
run_003,1.0651e-05,0.695382
run_003,1.0656e-05,0.678022
run_003,1.0661e-05,0.664379
run_003,1.0666e-05,0.665133
run_003,1.0671e-05,0.684796
run_003,1.0676e-05,0.716915
run_003,1.0681e-05,0.751518
run_003,1.0686e-05,0.782332
run_003,1.0691e-05,0.807706
run_003,1.0696e-05,0.827858
run_003,1.0701e-05,0.843934
run_003,1.0706e-05,0.856785
run_003,1.0711e-05,0.867274
run_003,1.0716e-05,0.875933
run_003,1.0721e-05,0.883212
run_003,1.0726e-05,0.889414
run_003,1.0731e-05,0.894763
run_003,1.0736e-05,0.899443
run_003,1.0741e-05,0.903561
run_003,1.0746e-05,0.907241
run_003,1.0751e-05,0.910529
run_003,1.0756e-05,0.913514
run_003,1.0761e-05,0.916221
run_003,1.0766e-05,0.918704
run_003,1.0771e-05,0.920986
run_003,1.0776e-05,0.923094
run_003,1.0781e-05,0.925052
run_003,1.0786e-05,0.926872
run_003,1.0791e-05,0.928579
run_003,1.0796e-05,0.930172
run_003,1.0801e-05,0.931677
run_003,1.0806e-05,0.93309
run_003,1.0811e-05,0.934428
run_003,1.0816e-05,0.935695
run_003,1.0821e-05,0.936898
run_003,1.0826e-05,0.938044
run_003,1.0831e-05,0.939133
run_003,1.0836e-05,0.940176
run_003,1.0841e-05,0.941169
run_003,1.0846e-05,0.942124
run_003,1.0851e-05,0.943037
run_003,1.0856e-05,0.943915
run_003,1.0861e-05,0.944759
run_003,1.0866e-05,0.945572
run_003,1.0871e-05,0.946357
run_003,1.0876e-05,0.947112
run_003,1.0881e-05,0.947844
run_003,1.0886e-05,0.94855
run_003,1.0891e-05,0.949235
run_003,1.0896e-05,0.949897
run_003,1.0901e-05,0.95054
run_003,1.0906e-05,0.951164
run_003,1.0911e-05,0.95177
run_003,1.0916e-05,0.952361
run_003,1.0921e-05,0.952933
run_003,1.0926e-05,0.953492
run_003,1.0931e-05,0.954036
run_003,1.0936e-05,0.954567
run_003,1.0941e-05,0.955084
run_003,1.0946e-05,0.955589
run_003,1.0951e-05,0.956084
run_003,1.0956e-05,0.956566
run_003,1.0961e-05,0.957038
run_003,1.0966e-05,0.957499
run_003,1.0971e-05,0.957952
run_003,1.0976e-05,0.958394
run_003,1.0981e-05,0.958828
run_003,1.0986e-05,0.959254
run_003,1.0991e-05,0.959671
run_003,1.0996e-05,0.960081
run_003,1.1001e-05,0.960482
run_003,1.1006e-05,0.960876
run_003,1.1011e-05,0.961264
run_003,1.1016e-05,0.961645
run_003,1.1021e-05,0.962019
run_003,1.1026e-05,0.962387
run_003,1.1031e-05,0.962749
run_003,1.1036e-05,0.963105
run_003,1.1041e-05,0.963455
run_003,1.1046e-05,0.9638
run_003,1.1051e-05,0.96414
run_003,1.1056e-05,0.964474
run_003,1.1061e-05,0.964803
run_003,1.1066e-05,0.965128
run_003,1.1071e-05,0.965447
run_003,1.1076e-05,0.965762
run_003,1.1081e-05,0.966072
run_003,1.1086e-05,0.966378
run_003,1.1091e-05,0.966679
run_003,1.1096e-05,0.966976
run_003,1.1101e-05,0.967269
run_003,1.1106e-05,0.967556
run_003,1.1111e-05,0.967841
run_003,1.1116e-05,0.968121
